Ticker,Full Name,Identified Creator,Year Created,Current Price,Circulating Supply,Market Cap,Volume 24H,Max Supply,Pseudonym Creator/Associated Platform
AAVE-USD,Aave,Stani Kulechov,2017,95.18,"14,806,397",1417098987,"85,142,665",,
ADA-USD,Cardano,Charles Hoskinson,2017,0.5155,"35,627,327,987",18458071568,"379,009,752",45000000000,
ALGO-USD,Algorand,Silvio Micali,2019,0.1912,"8,133,125,765",1571299163,"45,111,092",10000000000,
AVAX-USD,Avalanche,Emin GÃ¼n Sirer,2020,39.01,"378,010,745",14851195028,"462,738,515",715748719,
BAT-USD,Basic Attention Token,Brendan Eich,2017,0.2663,"1,490,413,701",399206338,"15,277,847",,
BCH-USD,Bitcoin Cash,,2017,508.44,"19,695,422",10052706886,"314,587,082",21000000,Bitcoin
BNB-USD,Binance Coin,,2017,595.12,"147,421,135","88,035,137,237","1,260,153,594",,Binance Exchange
BTC-USD,Bitcoin,`,2009,66026.77,"19,688,631",1.3061E+12,"26,325,747,644",21000000,Satoshi Nakamoto
DASH-USD,Dash,Evan Duffield,2014,31.28,"11,760,249",369281368,"43,398,422",18900000,
DCR-USD,Decred,Jake Yocom-Piatt,2016,22.56,"16,007,994",360327356,"3,486,657",21000000,
DOGE-USD,Dogecoin,"Billy Markus, Jackson Palmer",2013,0.1584,"143,990,000,000",22894377451,"1,250,000,000",,
ENJ-USD,Enjin Coin,"Maxim Blagov, Witek Radomski",2017,0.3489,"1,379,841,766",480851583,"9,068,858",,
EOS-USD,EOS,Dan Larimer,2018,0.8348,"1,123,761,384",943771400,"104,184,494",,
ETC-USD,Ethereum Classic,,2016,28.11,"146,681,988",4120987771,"172,167,904",210700000,Ethereum
ETH-USD,Ethereum,Vitalik Buterin,2015,3184.58,"120,072,367",3.82224E+11,"11,346,213,872",,
FIL-USD,Filecoin,Juan Benet,2017,6.48,"542,219,201",3506784400,"184,591,897",,
HBAR-USD,Hedera,Dr. Leemon Baird,2019,0.08995,"35,741,578,541",3197950013,"46,606,086",50000000000,
HT-USD,Huobi Token,,2018,0.5836,"162,233,844",94100511,"545,871",50000000,Huobi Exchange
KLAY-USD,Klaytn,,2019,0.205,"3,624,910,990",741850669,"13,669,431",,Ground X
KSM-USD,Kusama,Gavin Wood,2019,33.44,"8,470,098",282991583,"15,006,873",,
LINK-USD,Chainlink,"Sergey Nazarov, Steve Ellis",2017,15.34,"587,099,970",8957936283,"409,924,622",1000000000,
LTC-USD,Litecoin,Charlie Lee,2011,85.03,"74,450,881",6301315889,"341,470,113",84000000,
MANA-USD,Decentraland,"Ariel Meilich, Esteban ordano",2017,0.4809,"1,908,319,865",911374408,"51,404,366",,
MATIC-USD,Polygon,"Jaynti Kanani, Sandeep Naiwal, Anurag Arjun, Mihailo Bjelic",2017,0.7399,"9,894,739,166",7253385045,"261,492,871",10000000000,
MKR-USD,Maker,Rune Christensen,2015,2904.04,"924,717",2675963053,"94,719,981",1005577,
NEO-USD,Neo,"Da Hongfei, Erik Zhang",2014,19.58,"924,717",1374932528,"94,694,410",100000000,
QTUM-USD,Qtum,Patrick Dai,2017,4.34,"104,755,842",451894509,"56,571,982",107822406,
SNX-USD,Synthetix,Kain Warwick,2017,3.15,"327,769,196",1028503659,"28,455,851",,
THETA-USD,Theta Network,"Mitch Liu, Jieyi Long",2018,2.32,"1,000,000,000",2307033327,"327,769,196",1000000000,
TRX-USD,TRON,Justin Sun,2017,0.1116,"87,588,658,977",9785385621,"270,319,022",,
USDC-USD,USD Coin,,2018,1,"34,010,000,000",34010837754,"6,760,000,000",,Centre Consortium
USDT-USD,Tether,"Reeve Collins, Brock Pierce, Craig Sellars",2014,1,"109,840,000,000",1.09918E+11,"50,380,000,000",,
VET-USD,VeChain,Sunny Lu,2015,0.04222,"72,714,516,834",3056306146,"56,172,851",86712634466,
WAVES-USD,Waves,Sasha Ivanov,2016,2.63,"114,401,098",299249528,"40,532,587",,
XEM-USD,NEM,Makoto Takemiya,2015,0.04087,"8,999,999,999",364592623,"8,891,563",8999999999,
XLM-USD,Stellar,"Jed McCaleb, Joyce Kim",2014,0.1169,"28,910,602,342",3381434185,"65,214,238",50001806812,
XMR-USD,Monero,,2014,121.44,"18,427,024",2244453029,"44,693,603",,"""Thankful_for_today"""
XRP-USD,Ripple,"Arthur Britto, David Schwartz, Ryan Fugger",2012,0.5416,"55,129,144,019",30282343477,"1,284,874,274",1E+11,
XTZ-USD,Tezos,"Arthur Breitman, Kathleen Breitman",2018,1.06,"979,006,358",1024097572,"25,458,551",,
YFI-USD,yearn.finance,Andre Cronje,2020,7473.75,"33,373",247589046,"20,081,458",36666,
ZEC-USD,Zcash,Zooko Wilcox-O'Hearn,2016,24.09,"16,328,269",390076964,"48,621,136",21000000,
ZIL-USD,Zilliqa,"Xinshu Dong, Amrit Kumar",2017,0.02664,"17,372,203,179",460403073,"18,097,888",21000000000,
